reference,date,amount,fee,terminal_type,terminal_id,location,net_amount
010945240,2024-10-27T16:49:23,500,10,BANCO,0002,,490
010927847,2024-10-27T16:51:44,100,2,BANCO,0002,,98
010937489,2024-10-27T16:49:42,200,4,BANCO,0005,,196
010948781,2024-10-27T16:53:14,150,3,BANCO,0002,,147
010954709,2024-10-27T16:54:21,150,3,BANCO,0002,,147
010957923,2024-10-27T16:54:46,250,5,BANCO,0004,,245
010958368,2024-10-27T16:54:53,100,2,BANCO,0002,,98
010957874,2024-10-27T16:54:59,1000,20,BANCO,0002,,980
010960529,2024-10-27T16:52:50,1000,20,BANCO,0005,,980
010903151,2024-10-27T16:55:19,500,10,BANCO,0002,,490
010919298,2024-10-27T16:56:06,150,3,BANCO,0002,,147
010926157,2024-10-27T17:56:35,2500,50,BANCO,0011,,2450
010928943,2024-10-27T16:57:07,500,10,BANCO,0002,,490
010939860,2024-10-27T16:57:52,550,11,BANCO,0002,,539
010940963,2024-10-27T16:58:01,200,4,BANCO,0002,,196
010950437,2024-10-27T16:58:13,200,4,BANCO,0002,,196
010917135,2024-10-27T17:01:31,350,7,BANCO,0002,,343
010938770,2024-10-27T17:02:36,150,3,BANCO,0002,,147
010940276,2024-10-27T17:00:55,500,10,BANCO,0005,,490
010954697,2024-10-27T17:04:04,200,4,BANCO,0002,,196
010954669,2024-10-27T17:04:24,500,10,BANCO,0002,,490
010954429,2024-10-27T17:02:17,1000,20,BANCO,0005,,980
010962344,2024-10-27T17:07:18,1000,20,BANCO,0002,,980
010929811,2024-10-27T17:06:47,150,3,BANCO,0005,,147
010942758,2024-10-27T17:10:37,500,10,BANCO,0002,,490
010951070,2024-10-27T17:11:37,500,10,BANCO,0002,,490
010953013,2024-10-27T17:09:37,1000,20,BANCO,0005,,980
010960800,2024-10-27T17:12:24,150,3,BANCO,0002,,147
010905006,2024-10-27T17:13:03,500,10,BANCO,0002,,490
010913463,2024-10-27T17:13:18,300,6,BANCO,0002,,294
010932531,2024-10-27T17:13:32,1000,20,BANCO,0002,,980
010935267,2024-10-27T17:13:49,150,3,BANCO,0002,,147
010941670,2024-10-27T17:13:59,150,3,BANCO,0002,,147
010946231,2024-10-27T17:11:54,100,2,BANCO,0005,,98
010945885,2024-10-27T17:14:09,500,10,BANCO,0002,,490
010949461,2024-10-27T17:14:48,500,10,BANCO,0002,,490
010949842,2024-10-27T17:15:00,700,14,BANCO,0002,,686
010955750,2024-10-27T17:15:24,150,3,BANCO,0002,,147
010956085,2024-10-27T17:15:34,350,7,BANCO,0002,,343
010930048,2024-10-27T17:16:13,1000,20,BANCO,0002,,980
010946169,2024-10-27T17:17:31,50,1,BANCO,0002,,49
010956561,2024-10-27T17:18:48,250,5,BANCO,0002,,245
010962635,2024-10-27T17:19:21,200,4,BANCO,0002,,196
010937544,2024-10-27T17:21:09,500,10,BANCO,0002,,490
010940570,2024-10-27T17:21:32,250,5,BANCO,0002,,245
010944217,2024-10-27T17:21:36,150,3,BANCO,0002,,147
010947709,2024-10-27T17:23:16,180,4,BANCO,0002,,176
010959673,2024-10-27T17:24:20,50,1,BANCO,0002,,49
010959791,2024-10-27T17:24:20,500,10,BANCO,0004,,490
010910457,2024-10-27T17:25:29,50,1,BANCO,0002,,49
010915179,2024-10-27T17:25:36,50,1,BANCO,0002,,49
010928505,2024-10-27T17:25:46,500,10,BANCO,0002,,490
010929718,2024-10-27T17:25:55,150,3,BANCO,0002,,147
010932000,2024-10-27T17:26:56,250,5,BANCO,0002,,245
010955954,2024-10-27T17:27:36,150,3,BANCO,0002,,147
010956534,2024-10-27T17:28:37,110,2,BANCO,0002,,108
010958766,2024-10-27T17:29:04,250,5,BANCO,0002,,245
010960496,2024-10-27T17:31:51,250,5,BANCO,0002,,245
010962594,2024-10-27T17:34:13,500,10,BANCO,0002,,490
010893048,2024-10-27T17:35:07,1000,20,BANCO,0002,,980
010925200,2024-10-27T17:35:49,500,10,BANCO,0002,,490
010938458,2024-10-27T17:36:45,50,1,BANCO,0002,,49
010938379,2024-10-27T17:36:47,1000,20,BANCO,0002,,980
010947336,2024-10-27T17:37:05,60,1,BANCO,0002,,59
010951910,2024-10-27T17:37:22,250,5,BANCO,0002,,245
010954523,2024-10-27T17:38:52,2500,50,BANCO,0002,,2450
010962320,2024-10-27T17:41:02,500,10,BANCO,0002,,490
010892806,2024-10-27T17:41:16,250,5,BANCO,0002,,245
010919984,2024-10-27T17:41:20,150,3,BANCO,0002,,147
010926076,2024-10-27T17:41:40,150,3,BANCO,0002,,147
010941992,2024-10-27T17:40:32,1100,22,BANCO,0005,,1078
010949702,2024-10-27T17:42:45,200,4,BANCO,0002,,196
010950921,2024-10-27T17:43:24,300,6,BANCO,0002,,294
010955774,2024-10-27T17:45:16,500,10,BANCO,0002,,490
010961878,2024-10-27T17:44:05,500,10,BANCO,0005,,490
010961416,2024-10-27T17:46:53,500,10,BANCO,0002,,490
010962548,2024-10-27T17:46:53,50,1,BANCO,0002,,49
010962184,2024-10-27T17:47:38,610,12,BANCO,0002,,598
010891058,2024-10-27T17:48:40,500,10,BANCO,0002,,490
010917368,2024-10-27T17:48:50,500,10,BANCO,0004,,490
010929227,2024-10-27T17:49:21,1000,20,BANCO,0002,,980
010930251,2024-10-27T17:49:24,150,3,BANCO,0002,,147
010936202,2024-10-27T17:49:31,1000,20,BANCO,0002,,980
010939668,2024-10-27T17:49:52,200,4,BANCO,0002,,196
010943021,2024-10-27T17:50:48,1000,20,BANCO,0002,,980
010945364,2024-10-27T17:50:49,500,10,BANCO,0004,,490
010945723,2024-10-27T17:50:49,150,3,BANCO,0002,,147
010951484,2024-10-27T17:53:50,100,2,BANCO,0002,,98
010957728,2024-10-27T17:54:30,610,12,BANCO,0002,,598
010959191,2024-10-27T17:54:51,250,5,BANCO,0004,,245
010958964,2024-10-27T17:55:07,150,3,BANCO,0002,,147
010961728,2024-10-27T17:55:12,200,4,BANCO,0002,,196
010897936,2024-10-27T17:55:32,250,5,BANCO,0002,,245
010925502,2024-10-27T17:56:44,150,3,BANCO,0002,,147
010926418,2024-10-27T17:56:52,300,6,BANCO,0004,,294
010933949,2024-10-27T17:57:00,250,5,BANCO,0002,,245
010953019,2024-10-27T17:56:09,1000,20,BANCO,0005,,980
010953856,2024-10-27T17:58:46,250,5,BANCO,0002,,245
010954754,2024-10-27T17:59:04,250,5,BANCO,0002,,245
010958258,2024-10-27T17:59:35,500,10,BANCO,0002,,490
010960410,2024-10-27T18:00:21,1000,20,BANCO,0002,,980
010960477,2024-10-27T18:00:51,500,10,BANCO,0004,,490
010917590,2024-10-27T18:01:04,200,4,BANCO,0002,,196
010947146,2024-10-27T18:00:15,1000,20,BANCO,0005,,980
010954124,2024-10-27T18:04:06,50,1,BANCO,0004,,49
010958959,2024-10-27T18:04:27,150,3,BANCO,0002,,147
010960980,2024-10-27T18:04:43,1000,20,BANCO,0002,,980
010892857,2024-10-27T18:02:31,500,10,BANCO,0005,,490
010914291,2024-10-27T18:05:05,200,4,BANCO,0002,,196
010918943,2024-10-27T18:05:11,150,3,BANCO,0002,,147
010931160,2024-10-27T18:05:37,1000,20,BANCO,0002,,980
010951334,2024-10-27T18:05:51,150,3,BANCO,0002,,147
010958510,2024-10-27T18:04:59,500,10,BANCO,0005,,490
010882219,2024-10-27T18:07:34,200,4,BANCO,0002,,196
010946286,2024-10-27T18:08:01,1000,20,BANCO,0002,,980
010946920,2024-10-27T18:08:37,150,3,BANCO,0002,,147
010951030,2024-10-27T18:10:14,150,3,BANCO,0002,,147
010952169,2024-10-27T18:11:03,1000,20,BANCO,0002,,980
010928980,2024-10-27T18:11:58,500,10,BANCO,0002,,490
010937557,2024-10-27T18:12:31,500,10,BANCO,0002,,490
010939536,2024-10-27T18:12:52,50,1,BANCO,0002,,49
010942523,2024-10-27T18:13:03,500,10,BANCO,0002,,490
010954675,2024-10-27T18:13:29,1000,20,BANCO,0004,,980
010955868,2024-10-27T18:14:09,200,4,BANCO,0002,,196
010960027,2024-10-27T18:14:45,250,5,BANCO,0002,,245
010961544,2024-10-27T18:13:03,300,6,BANCO,0005,,294
010943214,2024-10-27T18:14:00,1000,20,BANCO,0005,,980
010944779,2024-10-27T18:14:01,500,10,BANCO,0005,,490
010949250,2024-10-27T18:16:32,250,5,BANCO,0002,,245
010954334,2024-10-27T18:16:46,600,12,BANCO,0002,,588
010953368,2024-10-27T18:18:18,500,10,BANCO,0002,,490
010960180,2024-10-27T18:18:45,500,10,BANCO,0004,,490
010960177,2024-10-27T18:18:49,500,10,BANCO,0002,,490
010959073,2024-10-27T18:17:40,500,10,BANCO,0005,,490
010961629,2024-10-27T18:20:34,250,5,BANCO,0002,,245
010960936,2024-10-27T18:21:15,1000,20,BANCO,0002,,980
010962756,2024-10-27T18:21:30,260,5,BANCO,0002,,255
010891391,2024-10-27T18:22:20,500,10,BANCO,0008,,490
010940306,2024-10-27T18:24:04,160,3,BANCO,0002,,157
010943595,2024-10-27T18:24:05,200,4,BANCO,0002,,196
010955778,2024-10-27T18:25:05,250,5,BANCO,0002,,245
010957027,2024-10-27T18:25:15,1000,20,BANCO,0008,,980
010956217,2024-10-27T18:25:44,500,10,BANCO,0002,,490
010958615,2024-10-27T18:25:59,200,4,BANCO,0004,,196
010958979,2024-10-27T18:26:01,60,1,BANCO,0002,,59
010959382,2024-10-27T18:26:31,500,10,BANCO,0002,,490
010892795,2024-10-27T18:26:35,250,5,BANCO,0004,,245
010831299,2024-10-27T18:27:01,500,10,BANCO,0002,,490
010944185,2024-10-27T18:27:51,100,2,BANCO,0002,,98
010946543,2024-10-27T18:28:00,220,4,BANCO,0002,,216
010954988,2024-10-27T18:27:57,300,6,BANCO,0005,,294
010924564,2024-10-27T18:33:56,522,10,BANCO,0002,,512
010926916,2024-10-27T18:33:59,250,5,BANCO,0002,,245
010930673,2024-10-27T18:34:13,500,10,BANCO,0002,,490
010936885,2024-10-27T18:34:36,350,7,BANCO,0002,,343
010905239,2024-10-27T18:35:42,250,5,BANCO,0002,,245
010928844,2024-10-27T18:35:56,500,10,BANCO,0002,,490
010941514,2024-10-27T18:36:53,300,6,BANCO,0002,,294
010946087,2024-10-27T18:37:11,610,12,BANCO,0002,,598
010959689,2024-10-27T18:38:27,500,10,BANCO,0002,,490
010896862,2024-10-27T18:38:41,500,10,BANCO,0002,,490
010925165,2024-10-27T18:39:02,150,3,BANCO,0002,,147
010945906,2024-10-27T18:39:31,1000,20,BANCO,0004,,980
010945161,2024-10-27T18:41:07,1000,20,BANCO,0002,,980
010948192,2024-10-27T18:42:17,50,1,BANCO,0002,,49
010950313,2024-10-27T18:42:34,1000,20,BANCO,0008,,980
010952418,2024-10-27T18:42:43,100,2,BANCO,0002,,98
010956425,2024-10-27T18:43:11,550,11,BANCO,0002,,539
010956586,2024-10-27T18:43:36,150,3,BANCO,0002,,147
010960209,2024-10-27T18:45:58,150,3,BANCO,0002,,147
010959211,2024-10-27T18:46:16,500,10,BANCO,0002,,490
010872944,2024-10-27T18:46:44,500,10,BANCO,0002,,490
010838326,2024-10-27T18:46:57,300,6,BANCO,0002,,294
010946217,2024-10-27T18:48:48,150,3,BANCO,0002,,147
010948364,2024-10-27T18:49:17,1000,20,BANCO,0002,,980
010952875,2024-10-27T18:49:23,260,5,BANCO,0002,,255
010952748,2024-10-27T18:49:35,500,10,BANCO,0002,,490
010962243,2024-10-27T18:50:06,100,2,BANCO,0008,,98
010962318,2024-10-27T18:50:57,1000,20,BANCO,0002,,980
010912393,2024-10-27T18:51:24,1000,20,BANCO,0002,,980
010944404,2024-10-27T18:53:22,300,6,BANCO,0002,,294
010943585,2024-10-27T18:54:00,600,12,BANCO,0002,,588
010946193,2024-10-27T18:54:04,270,5,BANCO,0002,,265
010948333,2024-10-27T18:54:39,1000,20,BANCO,0002,,980
010951151,2024-10-27T18:54:48,200,4,BANCO,0002,,196
010952823,2024-10-27T18:55:06,1080,22,BANCO,0002,,1058
010953226,2024-10-27T18:55:43,150,3,BANCO,0002,,147
010959507,2024-10-27T18:56:23,500,10,BANCO,0002,,490
010960942,2024-10-27T18:54:58,500,10,BANCO,0005,,490
010960884,2024-10-27T18:58:00,560,11,BANCO,0002,,549
010872516,2024-10-27T18:58:06,290,6,BANCO,0002,,284
